,date,loc,country,fat,meta
0,1996-11-12,"Charkhi Dadri, Haryana",India,312,human_error
1,2014-07-17,near Donetsk,Ukraine,298,criminal
2,2001-11-12,"Belle Harbor, NY",USA,265,human_error
3,1994-04-26,Nagoya-Komaki,Japan,264,human_error
4,2014-03-08,South China Sea,"Malaysia, Pacific Ocean",239,unknown
5,1996-01-08,N'Dolo Airport,DR Congo (then Zaire),237,human_error
6,1997-09-26,near Medan-Polonia Airport,Indonesia,234,human_error
7,1996-07-17,"near East Moriches, NY",USA,230,mechanical
8,1998-09-02,"Atlantic Ocean near St Margarets Bay, Nova Scotia",Canada,229,mechanical
9,1997-08-06,Nimitz Hill,Guam,228,human_error
